ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Type_of_Issuer,Use_of_Proceed,Principal_Currency,F1985,F1986,F1987,F1990,F1991,F1992,F1993,F1994,F1999,F2000,F2002,F2003,F2004,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
151,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Indonesian Rupiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015041
152,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Indonesian Rupiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.435756
153,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0147984
154,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.80284
155,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Kazakhstani Tenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7e-05
156,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Kazakhstani Tenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388662
157,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Macanese Pataca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001626
158,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Macanese Pataca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3713331
159,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Malaysian Ringgit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007586
160,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Malaysian Ringgit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.732825
161,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Mexican Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014486
162,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Mexican Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.309021
163,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Mexican Unidad de Inversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001192
164,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Mexican Unidad de Inversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2723767
165,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Moroccan Dirham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84e-06
166,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Moroccan Dirham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0133439
167,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Namibian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67e-06
168,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Namibian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038124
169,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,New Zealand Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027818
170,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,New Zealand Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.354366
171,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Nigerian Naira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97e-05
172,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Nigerian Naira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0907213
173,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Norwegian Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0086785
174,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Norwegian Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82355
175,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Peruvian Sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96e-05
176,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Peruvian Sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136177
177,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Philippine Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001837
178,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Philippine Peso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4196968
179,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Polish Zloty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007037
180,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Polish Zloty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60748
181,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Romanian Leu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00028
182,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Romanian Leu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639671
183,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Russian Ruble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018991
184,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Russian Ruble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.337879
185,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Singapore Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037566
186,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Singapore Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.580949
187,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,South African Rand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000734
188,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,South African Rand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.676632
189,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,South Korean Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0067118
190,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,South Korean Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.33138
191,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Sri Lankan Rupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75e-06
192,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Sri Lankan Rupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039937
193,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Swedish Krona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0320843
194,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Swedish Krona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.28773
195,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Swiss Franc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0098143
196,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Swiss Franc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4182
197,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Taiwanese Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029853
198,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Taiwanese Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.818996
199,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014398
200,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Thai Baht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.288828
201,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Turkish Lira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02e-05
202,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Turkish Lira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2059512
203,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Ukrainian Hryvnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82e-06
204,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Ukrainian Hryvnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0155707
205,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2537281
206,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.5726
207,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Vietnamese Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98e-05
208,World,,WLD,Cumulative Green Bond Issuances by Type of Currency,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Vietnamese Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1594656
209,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Access to Essential Services,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0056156
210,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Access to Essential Services,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82738
211,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Acquiring and distribution of vaccine,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001751
212,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Acquiring and distribution of vaccine,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
213,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Acquisition,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032373
214,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Acquisition,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.394673
215,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Affordable Basic Infrastructure,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87e-05
216,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Affordable Basic Infrastructure,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0428026
217,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Agriculture,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002201
218,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Agriculture,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5027738
219,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Alternative Energy,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0112562
220,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Alternative Energy,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.71169
221,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Aquatic Biodiversity Conservation,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0331341
222,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Aquatic Biodiversity Conservation,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6857
223,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Capital expenditure,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006567
224,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Capital expenditure,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
225,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Share,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Capital expenditure/Financing expenses,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007941
226,World,,WLD,Cumulative Green Bond Issuances by Use of Proceeds,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Capital expenditure/Financing expenses,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.813805
