ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Type_of_Issuer,Use_of_Proceed,Principal_Currency,F1985,F1986,F1987,F1990,F1991,F1992,F1993,F1994,F1999,F2000,F2002,F2003,F2004,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
62,Malaysia,MY,MYS,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.4436854,0.1982857,0.4660403,0.1162894,0.286007,0.2010724
63,"Marshall Islands, Rep. of the",MH,MHL,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,1.5,
64,Mauritius,MU,MUS,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,1,1.95,,2.770202,0.65,6.042,2.3
65,Mexico,MX,MEX,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,1,4.185977,8.626432,0.4072435,0.1362323,1.678597,0.1517439,0.5034902
66,Morocco,MA,MAR,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.0133439,,,,,
67,Namibia,NA,NAM,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0.0038124,,,,
68,"Netherlands, The",NL,NLD,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,0.0751202,,,,,,,,,,,,,,,,,,1.338098,4.866954,7.31676,10.9189,11.26703,28.66942,24.9159,33.40031,32.47046
69,"Netherlands, The",NL,NLD,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,16.64284,,,
70,New Zealand,NZ,NZL,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,0.03106,0.031445,0.1396156,0.0943349,0.0924898,0.1554899,0.2466395,0.2774695,0.6628438,1.297046,3.314287
71,New Zealand,NZ,NZL,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.127266
72,Nigeria,NG,NGA,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.0232422,,0.0652252,,0.0022539,0.05
73,Nigeria,NG,NGA,Sovereign Green Bond Issuances,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.0232422,,0.0326122,,,
74,Norway,NO,NOR,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,0.03,,,,,,,,,,0.0396237,,,,,,0.1077903,0.0155407,,1,0.3578327,2.293151,1.116078,0.5835931,3.102144,5.368201,6.183681,13.4614,13.08658
75,Pakistan,PK,PAK,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,
76,Panama,PA,PAN,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,0.037,,,,,,,0.042,0.535328,,
77,Peru,PE,PER,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,0.408,,,,0.0261855,1.278889,0.2,,0.03
78,Philippines,PH,PHL,Green Bond Issuances by Country,Billion US Dollars,"Refinitiv. Accessed on 2023-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.6646443,0.5540443,0.0900739,
